SCATS Number,NB_LATITUDE,NB_LONGITUDE
970,-37.86703,145.09159
2000,-37.8516827,145.0943457
2200,-37.81631,145.09812
2820,-37.79477,145.03077
2825,-37.78661,145.06202
2827,-37.78093,145.07733
2846,-37.8612671,145.058038
3001,-37.81441,145.02243
3002,-37.81489,145.02663
3120,-37.82264,145.05734
3122,-37.82379,145.06466
3126,-37.82778,145.09885
3127,-37.82506,145.078
3180,-37.79611,145.08372
3662,-37.80876,145.02757
3682,-37.83695,145.09699
3685,-37.85467,145.09384
3804,-37.83331,145.06247
3812,-37.83738,145.06119
4030,-37.79561,145.06251
4032,-37.80202,145.06127
4034,-37.81147,145.05946
4035,-37.8172654,145.0583603
4040,-37.83256,145.05545
4043,-37.84683,145.05275
4051,-37.79419,145.0696
4057,-37.80431,145.08197
4063,-37.81404,145.0801
4262,-37.82155,145.01503
4263,-37.8228462,145.0251292
4264,-37.82389,145.03409
4266,0.0,0.0
4270,-37.82951,145.03304
4272,-37.83186,145.04668
4273,-37.84632,145.04378
4321,-37.800776,145.0494611
4324,-37.809274,145.037306
4335,-37.80624,145.03518
4812,-37.82859,145.01644
4821,-37.81285,145.00849
